name,price,original_price,discount,merchant,link
Bộ 3 Cà phê Đắk Lắk tẩy da chết Cocoon Cơ thể 200ml  Da mặt 150ml  Son môi 5g,290.000 đ,365.000 đ,20,tiki.vn,https://websosanh.vn/bo-3-ca-phe-dak-lak-tay-da-chet-cocoon-co-the-200ml-da-mat-150ml-son-moi-5g/2818790635206863081/2642071820174507179/dealdirect.htm
Máy giặt LG Inverter 9 kg FB1209S6W Mới 2024,7.190.000 đ,8.250.000 đ,12,shopee.vn,https://websosanh.vn/may-giat-lg-inverter-9-kg-fb1209s6w-moi-2024/2229230801270083095/343220106741734172/dealdirect.htm
iPhone 16 Pro Max 256GB,33.090.000 đ,34.990.000 đ,5,fptshop.com.vn,https://websosanh.vn/iphone-16-pro-max-256gb/8004604011966999464/7248423303533841142/dealdirect.htm
Nước dưỡng tóc tinh dầu bưởi Cocoon (140ml),125.000 đ,200.000 đ,37,shopee.vn,https://websosanh.vn/nuoc-duong-toc-tinh-dau-buoi-cocoon-140ml/8505322298913349362/343220106741734172/dealdirect.htm
Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 16GB 1TB 2021 - Cũ Đẹp,33.990.000 đ,65.990.000 đ,48,cellphones.com.vn,https://websosanh.vn/macbook-pro-14-m1-pro-10-cpu-16-gpu-16gb-1tb-2021-cu-dep/603239521568972669/9146802325115625962/dealdirect.htm
Điều hòa Casper Inverter 9000 BTU 1 chiều IC-09TL32 gas R-32, Giá từ 4.000.000 đ,,,Có,dieu-hoa-may-lanh-casper-ic-09tl32-1-chieu/57956406/so-sanh.htm
Máy giặt sấy Electrolux Inverter 8 kg EWW8023AEWA, Giá từ 6.846.800 đ,,,Có,may-giat-say-electrolux-eww8023aewa-inverter-8-kg/1506167186/so-sanh.htm
Tủ đông Sanaky 2 ngăn 360 lít VH3699W1, Giá từ 3.534.260 đ,,,Có,tu-dong-mat-sanaky-vh-3699w1-360l-ong-dong/902874463/so-sanh.htm
Máy làm mát không khí Sunhouse SHD7727, Giá từ 1.969.000 đ,,,Có,may-lam-mat-khong-khi-sunhouse-shd7727/1008982295/so-sanh.htm
Bình nóng lạnh trực tiếp Ferroli DIVOSSN (DIVO-SSN) - 4500W, Giá từ 1.123.000 đ,,,Có,binh-tam-truc-tiep-ferroli-divossn-4500w/299174303/so-sanh.htm
Điều hòa Daikin 9000 BTU 1 chiều FTF25UV1V gas R-32, Giá từ 3.700.000 đ,,,Có,dieu-hoa-may-lanh-daikin-ftf25uv1v-1-chieu/1355169505/so-sanh.htm
Điều hòa Panasonic 18000 BTU 1 chiều CU/CS-C18FFH gas R-22, Giá từ 10.283.760 đ,,,Có,dieu-hoa-panasonic-cs-c18ffhcu-c18ffh/1699679079/so-sanh.htm
Điện thoại iPhone 15 128GB, Giá từ 15.150.000 đ,,,Có,dien-thoai-iphone-15-128gb/1286662108/so-sanh.htm
Điện thoại iPhone 15 Pro Max 256GB, Giá từ 24.190.000 đ,,,Có,dien-thoai-iphone-15-pro-max-256gb/202068233/so-sanh.htm
Điện thoại Samsung Galaxy Z Fold5 5G 256GB, Giá từ 23.490.000 đ,,,Có,dien-thoai-samsung-galaxy-z-fold5-5g-256gb/390151437/so-sanh.htm
Điện thoại Samsung Galaxy Z Flip5 5G 256GB, Giá từ 10.199.000 đ,,,Có,dien-thoai-samsung-galaxy-z-flip5-5g-256gb/1190232355/so-sanh.htm
Điện thoại Xiaomi 13 8GB/128GB, Giá từ 10.149.000 đ,,,Có,dien-thoai-xiaomi-xiaomi-13-8gb128gb/89553987/so-sanh.htm
Điện thoại Oppo Reno10 5G 8GB/256GB 6.7 inch, Giá từ 6.589.000 đ,,,Có,dien-thoai-oppo-reno10-5g-8gb256gb-67-inch/1469986737/so-sanh.htm
Máy tính bảng Samsung Galaxy Tab S9 Wifi 12GB/256GB 11 inch, Giá từ 12.900.000 đ,,,Có,may-tinh-bang-samsung-galaxy-tab-s9-wifi-12gb256gb-11/2033287357/so-sanh.htm
Sữa Meiji số 9 Nội Địa - 800g (1 - 3 tuổi), Giá từ 300.000 đ,,,Có,sua-meiji-so-9-800g-1-3-tuoi/884736266/so-sanh.htm
Bình sữa mô phỏng tự nhiên Philips Avent Natural 125ml, Giá từ 126.000 đ,,,Có,binh-sua-avent-natural-125ml/870630846/so-sanh.htm
Máy hút sữa Avent điện đôi SCF303-01, Giá từ 2.498.500 đ,,,Có,may-hut-sua-avent-dien-doi-scf303-01/993955308/so-sanh.htm
Địu cho bé Gluck GP-709 (GP709), Giá từ 350.000 đ,,,Có,diu-cho-be-gluck-gp-709-gp709/163854941/so-sanh.htm
Sữa bầu Morinaga - hộp 216g (dành cho bà mẹ mang thai và cho con bú), Giá từ 180.000 đ,,,Có,sua-ba-bau-morinaga-216g-vi-tra-sua/1649635627/so-sanh.htm
Tã dán Merries size S82 miếng (trẻ từ 4 - 8kg), Giá từ 175.000 đ,,,Có,ta-dan-s-82-merries-4-den-8kg/2097003312/so-sanh.htm
Bộ xếp hình lego cho bé 1000 chi tiết, Giá từ 119.900 đ,,,Có,bo-xep-hinh-lego-cho-be-1000-chi-tiet/260056991/so-sanh.htm
Bếp từ âm 3 vùng nấu Bosch PUC631BB2E, Giá từ 7.000.000 đ,,,Có,bep-tu-am-3-vung-nau-bosch-puc631bb2e/430932959/so-sanh.htm
Bộ nồi từ Chefs EH-CW4430, Giá từ 786.100 đ,,,Có,bo-noi-tu-chefs-eh-cw4430/290756124/so-sanh.htm
Máy rửa bát độc lập 13 bộ Bosch SMS46MI05E, Giá từ 12.935.000 đ,,,Có,may-rua-bat-bosch-sms46mi05e/1973609664/so-sanh.htm
Máy pha cafe Tiross TS621 (TS-621) - 800W, Giá từ 430.000 đ,,,Có,may-pha-ca-phe-tiross-ts621/363244852/so-sanh.htm
Nồi chiên không dầu Philips HD9650, Giá từ 3.149.000 đ,,,Có,noi-chien-khong-dau-philips-hd9650/1685988148/so-sanh.htm
Bếp từ âm 2 vùng nấu Sunhouse SHB-DI01, Giá từ 1.575.000 đ,,,Có,bep-tu-am-2-vung-nau-sunhouse-shb-di01/477500846/so-sanh.htm
Máy ép trái cây Panasonic MJ-68MWRA - 230W, Giá từ 679.000 đ,,,Có,may-ep-trai-cay-panasonic-mj-68mwra-230w/384224194/so-sanh.htm
Kem chống nắng La Roche-Posay Comfort Anthelios XL, Giá từ 125.000 đ,,,Có,kem-chong-nang-la-roche-posay-comfort-anthelios-xl/222522630/so-sanh.htm
Đồng hồ nam Citizen NH8350-59A(B/L/E), Giá từ 2.750.000 đ,,,Có,dong-ho-nam-citizen-nh8350-59able/1874526754/so-sanh.htm
Máy tăm nước Colgate - chống nước IPX7, Giá từ 1.580.000 đ,,,Có,may-tam-nuoc-colgate-chong-nuoc-ipx7/1125339494/so-sanh.htm
Son môi MAC Ruby Woo, Giá từ 210.680 đ,,,Có,son-moi-mac-ruby-woo/1001334622/so-sanh.htm
"Đồng hồ nữ Casio LRW-200H - Màu 1B, 2B, 3BVDF, 4B, 7BV", Giá từ 393.000 đ,,,Có,donghocasiolrw-200h-1bvdfnuden/2054656773/so-sanh.htm
Kem chống nắng SHISEIDO ANESSA SPF 50+ 60ml, Giá từ 349.000 đ,,,Có,kem-chong-nang-shiseido-anessa-spf-50-60ml/484674902/so-sanh.htm
Phấn nước April Skin Magic Snow Cushion, Giá từ 155.000 đ,,,Có,phan-nuoc-april-skin-magic-snow-cushion/580398441/so-sanh.htm
Android Tivi Sony 43 inch 4K KD-43X75K, Giá từ 6.000.000 đ,,,Có,android-tivi-sony-kd-43x75k-43-inch-ultra-hd-4k/698741113/so-sanh.htm
Loa di động Bose SoundLink Revolve Plus, Giá từ 3.298.900 đ,,,Có,loa-di-dong-bose-soundlink-revolve-plus/874154419/so-sanh.htm
Micro karaoke không dây Shure UGX 9 II, Giá từ 990.000 đ,,,Có,micro-shure-ugx9-ii/180276184/so-sanh.htm
Đầu karaoke VietKTV Pro 4TB, Giá từ 7.090.000 đ,,,Có,dau-karaoke-vietktv-pro-4tb/1936951637/so-sanh.htm
"Dàn âm thanh Sony BDVE6100 (BDV-E6100) - 5.1, Bluray, 3D", Giá từ 3.570.750 đ,,,Có,dan-am-thanh-bluray-3d-sony-bdv-e6100msp1-51/76250931/so-sanh.htm
Smart Tivi Casper FullHD 43 inch 43FX6200, Giá từ 3.550.000 đ,,,Có,smart-tivi-casper-43fx6200-43-inch-full-hd/1743467236/so-sanh.htm
Tivi Xiaomi A2 4K Full HD L43M7-ETH, Giá từ 3.036.000 đ,,,Có,tivi-xiaomi-l43m7-eth-4k-43-inch/2009166772/so-sanh.htm
"Laptop Lenovo ThinkPad E15 20RDS0DM00 - Intel Core i5-10210U, 8GB RAM, SSD 256GB, Intel HD Graphics, 14 inch", Giá từ 18.249.000 đ,,,Có,laptop-lenovo-thinkpad-e15-20rds0dm00-intel-core-i5-10210u-8gb/2010206967/so-sanh.htm
Tai nghe JBL T110, Giá từ 135.000 đ,,,Có,tai-nghe-jbl-t110/1619209195/so-sanh.htm
Thẻ nhớ Energizer​​ Ultimate micro SDXC 64GB Class10 UHS-I - 95​​MB/s FMDAAU064A, Giá từ 730.000 đ,,,Có,the-nho-energizer-ultimate-micro-sdxc-64gb-class10-uhs-i-/1858925225/so-sanh.htm
Chuột máy tính Genius Micro Traveler, Giá từ 110.000 đ,,,Có,genius-micro-traveler-ruby/366426612/so-sanh.htm
"Laptop Apple Macbook Air M2 2022 - Apple M2 8 Cores, 8GB RAM, SSD 256GB, 8 Cores, 13.6 inch", Giá từ 20.290.000 đ,,,Có,laptop-apple-macbook-air-m2-midnight-mly33saa-apple-m2/1921886932/so-sanh.htm
"Laptop Apple MacBook Pro 2022 - Apple M2 Pro  8-CPU, 8GB RAM, SSD 256GB, 10‑core GPU, 13.3 inch", Giá từ 26.999.000 đ,,,Có,laptop-apple-macbook-pro-13-inch-m2-2022-apple/1130394243/so-sanh.htm
Tai nghe Logitech H340, Giá từ 300.190 đ,,,Có,logitech-h340-den/1771078852/so-sanh.htm
