name: Bộ 3 Cà phê Đắk Lắk tẩy da chết Cocoon Cơ thể 200ml  Da mặt 150ml  Son môi 5g | price: 290.000 đ | original_price: 365.000 đ | discount: 20 | merchant: tiki.vn | link: https://websosanh.vn/bo-3-ca-phe-dak-lak-tay-da-chet-cocoon-co-the-200ml-da-mat-150ml-son-moi-5g/2818790635206863081/2642071820174507179/dealdirect.htm
name: Máy giặt LG Inverter 9 kg FB1209S6W Mới 2024 | price: 7.190.000 đ | original_price: 8.250.000 đ | discount: 12 | merchant: shopee.vn | link: https://websosanh.vn/may-giat-lg-inverter-9-kg-fb1209s6w-moi-2024/2229230801270083095/343220106741734172/dealdirect.htm
name: iPhone 16 Pro Max 256GB | price: 33.090.000 đ | original_price: 34.990.000 đ | discount: 5 | merchant: fptshop.com.vn | link: https://websosanh.vn/iphone-16-pro-max-256gb/8004604011966999464/7248423303533841142/dealdirect.htm
name: Nước dưỡng tóc tinh dầu bưởi Cocoon (140ml) | price: 125.000 đ | original_price: 200.000 đ | discount: 37 | merchant: shopee.vn | link: https://websosanh.vn/nuoc-duong-toc-tinh-dau-buoi-cocoon-140ml/8505322298913349362/343220106741734172/dealdirect.htm
name: Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 16GB 1TB 2021 - Cũ Đẹp | price: 33.990.000 đ | original_price: 65.990.000 đ | discount: 48 | merchant: cellphones.com.vn | link: https://websosanh.vn/macbook-pro-14-m1-pro-10-cpu-16-gpu-16gb-1tb-2021-cu-dep/603239521568972669/9146802325115625962/dealdirect.htm
name: Điều hòa Casper Inverter 9000 BTU 1 chiều IC-09TL32 gas R-32 | price:  Giá từ 4.000.000 đ | original_price: None | discount: None | merchant: Có | link: dieu-hoa-may-lanh-casper-ic-09tl32-1-chieu/57956406/so-sanh.htm
name: Máy giặt sấy Electrolux Inverter 8 kg EWW8023AEWA | price:  Giá từ 6.846.800 đ | original_price: None | discount: None | merchant: Có | link: may-giat-say-electrolux-eww8023aewa-inverter-8-kg/1506167186/so-sanh.htm
name: Tủ đông Sanaky 2 ngăn 360 lít VH3699W1 | price:  Giá từ 3.534.260 đ | original_price: None | discount: None | merchant: Có | link: tu-dong-mat-sanaky-vh-3699w1-360l-ong-dong/902874463/so-sanh.htm
name: Máy làm mát không khí Sunhouse SHD7727 | price:  Giá từ 1.969.000 đ | original_price: None | discount: None | merchant: Có | link: may-lam-mat-khong-khi-sunhouse-shd7727/1008982295/so-sanh.htm
name: Bình nóng lạnh trực tiếp Ferroli DIVOSSN (DIVO-SSN) - 4500W | price:  Giá từ 1.123.000 đ | original_price: None | discount: None | merchant: Có | link: binh-tam-truc-tiep-ferroli-divossn-4500w/299174303/so-sanh.htm
name: Điều hòa Daikin 9000 BTU 1 chiều FTF25UV1V gas R-32 | price:  Giá từ 3.700.000 đ | original_price: None | discount: None | merchant: Có | link: dieu-hoa-may-lanh-daikin-ftf25uv1v-1-chieu/1355169505/so-sanh.htm
name: Điều hòa Panasonic 18000 BTU 1 chiều CU/CS-C18FFH gas R-22 | price:  Giá từ 10.283.760 đ | original_price: None | discount: None | merchant: Có | link: dieu-hoa-panasonic-cs-c18ffhcu-c18ffh/1699679079/so-sanh.htm
name: Điện thoại iPhone 15 128GB | price:  Giá từ 15.150.000 đ | original_price: None | discount: None | merchant: Có | link: dien-thoai-iphone-15-128gb/1286662108/so-sanh.htm
name: Điện thoại iPhone 15 Pro Max 256GB | price:  Giá từ 24.190.000 đ | original_price: None | discount: None | merchant: Có | link: dien-thoai-iphone-15-pro-max-256gb/202068233/so-sanh.htm
name: Điện thoại Samsung Galaxy Z Fold5 5G 256GB | price:  Giá từ 23.490.000 đ | original_price: None | discount: None | merchant: Có | link: dien-thoai-samsung-galaxy-z-fold5-5g-256gb/390151437/so-sanh.htm
name: Điện thoại Samsung Galaxy Z Flip5 5G 256GB | price:  Giá từ 10.199.000 đ | original_price: None | discount: None | merchant: Có | link: dien-thoai-samsung-galaxy-z-flip5-5g-256gb/1190232355/so-sanh.htm
name: Điện thoại Xiaomi 13 8GB/128GB | price:  Giá từ 10.149.000 đ | original_price: None | discount: None | merchant: Có | link: dien-thoai-xiaomi-xiaomi-13-8gb128gb/89553987/so-sanh.htm
name: Điện thoại Oppo Reno10 5G 8GB/256GB 6.7 inch | price:  Giá từ 6.589.000 đ | original_price: None | discount: None | merchant: Có | link: dien-thoai-oppo-reno10-5g-8gb256gb-67-inch/1469986737/so-sanh.htm
